,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,np_vs_p_ttest_pval,np_vs_p_Log2FoldChange,np_vs_p_impact_score,p_vs_np_ttest_pval,p_vs_np_Log2FoldChange,p_vs_np_impact_score
453,S-Adenosylmethionine-13C-15,C15H22N6O5S-13C-15,+,414.1948,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
454,Adenosine diphosphate ribose-13C-0,C15H23N5O14P2-13C-0,-,558.0644,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
455,Adenosine diphosphate ribose-13C-1,C15H23N5O14P2-13C-1,-,559.0678,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
456,Adenosine diphosphate ribose-13C-2,C15H23N5O14P2-13C-2,-,560.0711,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
457,Adenosine diphosphate ribose-13C-3,C15H23N5O14P2-13C-3,-,561.0745,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
458,Adenosine diphosphate ribose-13C-4,C15H23N5O14P2-13C-4,-,562.0778,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
459,Adenosine diphosphate ribose-13C-5,C15H23N5O14P2-13C-5,-,563.0812,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
460,Adenosine diphosphate ribose-13C-6,C15H23N5O14P2-13C-6,-,564.0845,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
461,Adenosine diphosphate ribose-13C-7,C15H23N5O14P2-13C-7,-,565.0879,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
462,Adenosine diphosphate ribose-13C-8,C15H23N5O14P2-13C-8,-,566.0912,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
463,Adenosine diphosphate ribose-13C-9,C15H23N5O14P2-13C-9,-,567.0946,-0.7,11.55,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
464,Adenosine diphosphate ribose-13C-10,C15H23N5O14P2-13C-10,-,568.0979,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
465,Adenosine diphosphate ribose-13C-11,C15H23N5O14P2-13C-11,-,569.1013,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
