Metabolite,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B
Argininosuccinic acid-13C-9,0,0,0,0,0,0,0,0,0,0
Argininosuccinic acid-13C-10,0,0,0,0,0,0,0,0,0,0
Propionylcarnitine-13C-0,0,0,0,0,0,0,0,0,0,0
Propionylcarnitine-13C-1,0,0,0,0,0,0,0,0,0,0
Propionylcarnitine-13C-2,0,0,0,0,0,0,0,0,0,0
Propionylcarnitine-13C-3,0,0,0,0,0,0,0,0,0,0
Propionylcarnitine-13C-4,0,0,0,0,0,0,0,0,0,0
Propionylcarnitine-13C-5,0,0,0,0,0,0,0,0,0,0
Propionylcarnitine-13C-6,0,0,0,0,0,0,0,0,0,0
Propionylcarnitine-13C-7,0,0,0,0,0,0,0,0,0,0
Propionylcarnitine-13C-8,0,0,0,0,0,0,0,0,0,0
Propionylcarnitine-13C-9,0,0,0,0,0,0,0,0,0,0
Propionylcarnitine-13C-10,0,0,0,0,0,0,0,0,0,0
L-Tryptophan-13C-0,1280004,1318036,1014902,993361,1134686,876164,2316634,1275974,1487906,2382741
L-Tryptophan-13C-1,66563,74201,56760,46004,69421,67011,120322,56567,81443,105955
L-Tryptophan-13C-2,0,0,0,0,0,0,0,0,0,0
L-Tryptophan-13C-3,0,0,0,0,0,0,0,0,0,0
L-Tryptophan-13C-4,0,0,0,0,0,0,0,0,0,0
L-Tryptophan-13C-5,0,0,0,0,0,0,0,0,0,0
L-Tryptophan-13C-6,0,0,0,0,0,0,0,0,0,0
L-Tryptophan-13C-7,0,0,0,0,0,0,0,0,0,0
L-Tryptophan-13C-8,0,0,0,0,0,0,0,0,0,0
L-Tryptophan-13C-9,0,0,0,0,0,0,0,0,0,0
L-Tryptophan-13C-10,0,0,0,0,0,0,0,0,0,0
L-Tryptophan-13C-11,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-phenylalanine-13C-0,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-phenylalanine-13C-1,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-phenylalanine-13C-2,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-phenylalanine-13C-3,0,106730,0,0,0,0,0,0,0,0
N-Acetyl-L-phenylalanine-13C-4,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-phenylalanine-13C-5,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-phenylalanine-13C-6,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-phenylalanine-13C-7,0,0,0,0,0,0,0,0,13378,0
N-Acetyl-L-phenylalanine-13C-8,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-phenylalanine-13C-9,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-phenylalanine-13C-10,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-phenylalanine-13C-11,0,0,0,0,0,0,0,0,0,0
5'-Methylthioadenosine-13C-0,0,0,0,0,0,0,0,0,10175,0
5'-Methylthioadenosine-13C-1,0,0,0,0,0,0,0,0,0,0
5'-Methylthioadenosine-13C-2,0,0,0,0,0,0,0,0,0,0
5'-Methylthioadenosine-13C-3,0,0,0,0,0,0,0,0,0,0
5'-Methylthioadenosine-13C-4,0,0,0,0,0,0,0,0,0,0
5'-Methylthioadenosine-13C-5,15818,15516,26573,10377,22734,12909,31958,25201,37260,35294
5'-Methylthioadenosine-13C-6,25361,11106,13603,17080,13068,18741,29320,42758,19337,37129
5'-Methylthioadenosine-13C-7,10278,0,15611,10887,12626,12395,23543,27442,16708,17600
5'-Methylthioadenosine-13C-8,0,0,0,0,0,0,17421,21450,10359,11945
