,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,Skeleton_Metabolite,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Control_vs_Treatment_ttest_pval,Control_vs_Treatment_Log2FoldChange,Control_vs_Treatment_impact_score,Treatment_vs_Control_ttest_pval,Treatment_vs_Control_Log2FoldChange,Treatment_vs_Control_impact_score
71,72         L-Aspartic acid,C4H7NO4,[M-H]-,132.0302,-8.6,11.69,0.35,8,L-Aspartic acid,13209552,10550244,13222512,11236272,547837,999722,1164335,1247020,4.153205479744433e-06,3.606412532339131,19127057.0,4.153205479744433e-06,-3.6064125323391303,19127057.0
72,73         L-Carnitine,C7H16NO3,[Cat]+,162.1125,-1.7,9.69,0.26,8,L-Carnitine,335746976,265286032,336823456,290538272,20960710,27360636,29599402,32378852,4.211735767097326e-06,3.477274770968081,442480699.0,4.211735767097326e-06,-3.477274770968081,442480699.0
73,74         L-Cystathionine,C7H14N2O4S,[M+H]+,223.0747,-1.8,13.26,0.35,8,L-Cystathionine,1848213,631105,1176666,909924,99316,205480,232983,289602,0.012138499287842408,2.464278057535359,306.0,0.012138499287842408,-2.464278057535359,306.0
74,75         L-Cysteine,C3H7NO2S,[M+H]+,122.027,2.2,13.26,0.46,3,L-Cysteine,-,-,-,-,43953,27398,-,49990,0.1331471357200136,-0.4627933759010514,0.0,0.1331471357200136,0.4627933759010514,0.0
75,76         L-Cystine,C6H12N2O4S2,[M-H]-,239.0166,-4.5,12.67,0.27,0,L-Cystine,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
76,77         L-Glutamic acid,C5H9NO4,[M+H]+,148.0604,-2.3,11.5,0.27,8,L-Glutamic acid,240878544,193681200,230641072,205825984,34168508,42556112,50268896,51969196,5.7925988160820396e-06,2.283058084489449,110278408.0,5.7925988160820396e-06,-2.283058084489449,110278408.0
77,78         L-Glutamine,C5H10N2O3,[M+H]+,147.0764,-2.2,11.27,0.38,8,L-Glutamine,562710400,467413856,573554624,512134976,59641256,95418616,107622800,108998720,3.631963295348498e-06,2.5090743408596365,487346061.0,3.631963295348498e-06,-2.5090743408596365,487346061.0
78,79         L-Histidine,C6H9N3O2,[M+H]+,156.0768,-2.3,10.8,0.3,8,L-Histidine,117455392,99392072,117450080,106632160,16634672,27641110,31668638,31203492,6.001515221157645e-06,2.0409449335261027,46976084.0,6.001515221157645e-06,-2.0409449335261027,46976084.0
79,80         L-Isoleucine,C6H13NO2,[M+H]+,132.1019,-0.8,7.44,0.13,8,L-Isoleucine,201582288,159261392,210699152,161911056,29590378,30339730,31459448,35242372,2.784054056472582e-05,2.53406506633846,22366794.0,2.784054056472582e-05,-2.53406506633846,22366794.0
80,81         L-Kynurenine,C10H12N2O3,[M+H]+,209.0921,-1.8,7.44,0.41,8,L-Kynurenine,2277219,1650304,2492018,1802515,4697968,3990146,4193753,4719182,0.00012634168268165383,-1.0980903110338476,54693.0,0.00012634168268165383,1.0980903110338476,54693.0
81,82         L-Lactic acid,C3H6O3,[M-H]-,89.0244,-14.8,7.17,0.46,8,L-Lactic acid,1133503232,943142464,1176138880,1009230272,34281528,36092692,37349224,40048740,1.3571737402465202e-06,4.8500889857411735,11714248896.0,1.3571737402465202e-06,-4.8500889857411735,11714248896.0
82,83         L-Leucine,C6H13NO2,[M+H]+,132.1019,-0.8,7.48,0.28,8,L-Leucine,205144528,159839664,206915968,172001136,28347634,31520728,32434184,33588448,1.2858994304303497e-05,2.562936131978914,49961931.0,1.2858994304303497e-05,-2.562936131978914,49961931.0
83,84         L-Lysine,C6H14N2O2,[M+H]+,147.1128,-2.1,19.17,0.16,7,L-Lysine,25753836,14632469,21553092,22536300,-,12078088,11720812,12746246,0.008072724515090805,0.825553115866157,3626.0,0.008072724515090805,-0.825553115866157,3626.0
84,85         L-Malic acid,C4H6O5,[M-H]-,133.0142,-9.4,12.93,0.26,8,L-Malic acid,114020128,87612336,103835120,100563848,11160340,15399683,19893884,18255718,6.025030681289579e-06,2.649539192923005,61280683.0,6.025030681289579e-06,-2.649539192923005,61280683.0
85,86         L-Methionine,C5H11NO2S,[M+H]+,150.0583,-2.2,8.1,0.27,8,L-Methionine,60329688,48089616,60337672,54056068,4897543,5451610,5413209,6297262,2.648109404493253e-06,3.3363535879874515,116750005.0,2.648109404493253e-06,-3.3363535879874515,116750005.0
86,87         L-Phenylalanine,C9H11NO2,[M+H]+,166.0863,-1.5,6.95,0.46,8,L-Phenylalanine,211600800,176315120,221629232,192711312,23188768,22925712,24234962,26160704,2.243684305810085e-06,3.055310984415939,416231980.0,2.243684305810085e-06,-3.055310984415939,416231980.0
87,88         L-Proline,C5H9NO2,[M+H]+,116.0706,0.8,9.23,0.26,8,L-Proline,611968576,523619776,614130432,532398784,53174788,70695608,74355704,81672480,1.0940918548956377e-06,3.0273970440898244,2386576775.0,1.0940918548956377e-06,-3.0273970440898244,2386576775.0
88,89         L-Serine,C3H7NO3,[M+H]+,106.0499,2.2,11.87,0.32,7,L-Serine,35917232,30778270,37788760,33573504,-,3524055,4374758,4400282,1.4667557108772527e-06,3.3130087064967215,128696142.0,1.4667557108772527e-06,-3.3130087064967215,128696142.0
89,90         L-Threonine,C4H9NO3,[M-H]-,118.051,-9.9,10.79,0.33,8,L-Threonine,4062626,3308030,3867300,3775303,96331,205893,183840,194681,5.584524761860064e-07,4.462978892582388,77472589.0,5.584524761860064e-07,-4.462978892582388,77472589.0
90,91         L-Tryptophan,C11H12N2O2,[M+H]+,205.0972,-2.2,8.14,0.46,8,L-Tryptophan,35115000,26154722,35314664,29775320,23699374,20880444,22296776,23480826,0.008055385897147698,0.4838215027279921,4703.0,0.008055385897147698,-0.4838215027279922,4703.0
91,92         L-Tyrosine,C9H11NO3,[M+H]+,182.0812,-1.5,9.46,0.25,8,L-Tyrosine,50511276,39092684,52164680,42700180,6233210,6944206,7141409,8059538,1.6692364071957944e-05,2.7005137087831503,10360858.0,1.6692364071957944e-05,-2.700513708783151,10360858.0
92,93         L-Valine,C5H11NO2,[M+H]+,118.0863,0.4,8.92,0.38,8,L-Valine,306109088,253423712,309408736,274086624,26518938,30387246,32501128,35426936,1.4577466889083497e-06,3.1947752528657585,995458720.0,1.4577466889083497e-06,-3.1947752528657585,995458720.0
93,94         N6-Acetyl-L-lysine,C8H16N2O3,[M+H]+,189.1234,-8.8,3.19,0.24,3,N6-Acetyl-L-lysine,-,-,1177675,780570,954592,-,-,-,0.5357819940599816,0.4655041050060909,1.0,0.5357819940599816,-0.4655041050060907,1.0
94,95         N-Acetylglutamic acid,C7H11NO5,[M+H]+,190.071,-2.1,11.19,0.37,8,N-Acetylglutamic acid,118829,94247,107753,109343,33297,34260,42434,31785,1.3434594618316327e-05,1.6013002902317917,16147.0,1.3434594618316327e-05,-1.6013002902317914,16147.0
95,96         N-Acetylglutamine,C7H12N2O4,[M-H]-,187.0724,-3.4,7.04,0.42,2,N-Acetylglutamine,-,46309,-,28471,-,-,-,-,0.18428073189966115,0.7679024322153187,0.0,0.18428073189966115,-0.7679024322153187,0.0
96,97         N-Acetyl-L-alanine,C5H9NO3,[M+H]+,132.0655,-0.9,6.86,0.31,8,N-Acetyl-L-alanine,3661468,3257826,3348944,3681845,379834,397410,394498,396458,1.2000661922088998e-07,3.153092235750305,143788390.0,1.2000661922088998e-07,-3.153092235750305,143788390.0
97,98         N-Acetyl-L-methionine,C7H13NO3S,[M+H]+,192.0689,0.6,4.2,0.25,8,N-Acetyl-L-methionine,188482,133564,204238,139189,31186,26872,25117,28363,0.0002298704198914293,2.5768448261688266,2521.0,0.0002298704198914293,-2.5768448261688266,2521.0
98,99         N-Acetyl-L-phenylalanine,C11H13NO3,[M+H]+,208.0968,-1.5,3.55,0.29,8,N-Acetyl-L-phenylalanine,1282139,942616,1140809,903504,207123,267854,229468,297559,0.00010510219207016424,2.0910328750040788,26709.0,0.00010510219207016424,-2.0910328750040788,26709.0
99,100         N-Acetylornithine,C7H14N2O3,[M+H]+,175.1077,-1.3,9.86,0.45,8,N-Acetylornithine,148294816,121706264,154341792,131237568,15233900,18962214,20979818,19460086,4.145325280297228e-06,2.8960518857622732,141461945.0,4.145325280297228e-06,-2.8960518857622732,141461945.0
100,101         N-Acetylserine,C5H9NO4,[M-H]-,146.0459,-7.4,7.93,0.49,8,N-Acetylserine,5694984,4354078,5485296,4722640,153963,156052,158147,184562,4.528787095783116e-06,4.955803491841036,17911084.0,4.528787095783116e-06,-4.955803491841036,17911084.0
