,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,T1,T2,T3,T4,T5,T6,TomminusDox_vs_TomplusDox_ttest_pval,TomminusDox_vs_TomplusDox_Log2FoldChange,TomminusDox_vs_TomplusDox_impact_score,TomplusDox_vs_TomminusDox_ttest_pval,TomplusDox_vs_TomminusDox_Log2FoldChange,TomplusDox_vs_TomminusDox_impact_score
81,L-Lactic acid,C3H6O3,[M-H]-,89.0244,-14.8,7.14,0.38,6,157859104,184120656,162918272,61504944,163279328,87367824,0.11166428671855574,-0.6937429009832718,1973.0,0.11166428671855574,0.6937429009832721,1973.0
82,L-Leucine,C6H13NO2,[M+H]+,132.1019,-2.3,8.0,0.13,6,216846320,242659904,259340352,218016240,220654608,237501776,0.36044599460288335,-0.08829228051361368,686.0,0.36044599460288335,0.08829228051361346,686.0
83,L-Lysine,C6H14N2O2,[M+H]+,147.1128,-2.7,19.34,0.15,6,11915853,17061276,19579320,13481232,16300823,20394152,0.866747976372145,0.04734049718487045,20.0,0.866747976372145,-0.0473404971848703,20.0
84,L-Malic acid,C4H6O5,[M-H]-,133.0142,-10.1,13.29,0.09,6,75488448,88480920,92927368,77578624,88225304,98922752,0.7629492245159321,0.04331504137136705,117.0,0.7629492245159321,-0.04331504137136703,117.0
85,L-Methionine,C5H11NO2S,[M+H]+,150.0583,-2.2,8.2,0.12,6,109821032,124164392,132196448,96850640,93422864,106741728,0.03965115913993274,-0.302023452161001,3437.0,0.03965115913993274,0.3020234521610011,3437.0
86,L-Phenylalanine,C9H11NO2,[M+H]+,166.0863,-3.3,7.01,0.14,6,143650448,160301488,172830800,140582544,136497248,154454752,0.20773892857294715,-0.1438559470475475,805.0,0.20773892857294715,0.14385594704754742,805.0
87,L-Proline,C5H9NO2,[M+H]+,116.0706,-0.9,9.37,0.12,6,444358528,500123040,501305440,508435520,508636576,523604064,0.17920123856602696,0.09170861725681144,2960.0,0.17920123856602696,-0.09170861725681148,2960.0
88,L-Serine,C3H7NO3,[M+H]+,106.0499,0.3,12.16,0.13,6,15949351,17623678,17909354,14165899,13741362,16687934,0.1061502109662385,-0.20719056170109207,174.0,0.1061502109662385,0.20719056170109207,174.0
89,L-Threonine,C4H9NO3,[M-H]-,118.051,-11.6,10.96,0.17,6,19786356,20624430,20417866,15250660,16679571,16044608,0.0009001666627225367,-0.3424730687115432,25542.0,0.0009001666627225367,0.34247306871154315,25542.0
90,L-Tryptophan,C11H12N2O2,[M+H]+,205.0972,-3.2,8.25,0.26,6,16611743,19298066,22021164,16939132,16726902,20154076,0.5138437082550528,-0.10618955687699988,39.0,0.5138437082550528,0.10618955687699996,39.0
